Date,Jour Mois,Jour Semaine,Price,Fear and Greed
05.02.2018,5,lun.,"8699,8",11
06.02.2018,6,mar.,"8559,6",8
07.02.2018,7,mer.,"8081,9",36
08.02.2018,8,jeu.,"8903,5",30
09.02.2018,9,ven.,"8539,2",44
10.02.2018,10,sam.,"9476,3",54
11.02.2018,11,dim.,"10037,30",31
12.02.2018,12,lun.,"10178,70",42
13.02.2018,13,mar.,"11073,50",35
14.02.2018,14,mer.,"10398,80",55
15.02.2018,15,jeu.,"11169,40",71
16.02.2018,16,ven.,"11238,70",67
17.02.2018,17,sam.,"10473,00",74
18.02.2018,18,dim.,"9841,7",63
19.02.2018,19,lun.,"10170,40",67
20.02.2018,20,mar.,"9704,3",74
21.02.2018,21,mer.,"9585,2",54
22.02.2018,22,jeu.,"10285,10",44
23.02.2018,23,ven.,"10594,40",39
24.02.2018,24,sam.,"10333,90",31
25.02.2018,25,dim.,"10904,50",33
26.02.2018,26,lun.,"10827,70",37
27.02.2018,27,mar.,"11402,30",44
28.02.2018,28,mer.,"11416,50",41
01.03.2018,1,jeu.,"11330,60",38
02.03.2018,2,ven.,"10675,10",47
03.03.2018,3,sam.,"9902,9",56
04.03.2018,4,dim.,"9300,00",44
05.03.2018,5,lun.,"9217,00",55
06.03.2018,6,mar.,"8762,00",59
07.03.2018,7,mer.,"9529,6",37
08.03.2018,8,jeu.,"9137,4",39
09.03.2018,9,ven.,"9154,9",37
10.03.2018,10,sam.,"8210,6",39
11.03.2018,11,dim.,"8264,4",40
12.03.2018,12,lun.,"8289,2",41
13.03.2018,13,mar.,"7874,9",41
14.03.2018,14,mer.,"8201,2",40
15.03.2018,15,jeu.,"8616,8",32
16.03.2018,16,ven.,"8912,6",33
17.03.2018,17,sam.,"8905,9",31
18.03.2018,18,dim.,"8726,2",29
19.03.2018,19,lun.,"8916,8",29
20.03.2018,20,mar.,"8547,4",37
21.03.2018,21,mer.,"8473,2",36
22.03.2018,22,jeu.,"8143,5",36
23.03.2018,23,ven.,"7801,7",28
24.03.2018,24,sam.,"7954,9",32
25.03.2018,25,dim.,"7129,2",30
26.03.2018,26,lun.,"6853,7",31
27.03.2018,27,mar.,"6938,2",24
28.03.2018,28,mer.,"6825,2",24
29.03.2018,29,jeu.,"7068,4",18
30.03.2018,30,ven.,"7424,2",12
31.03.2018,31,sam.,"6808,9",16
01.04.2018,1,dim.,"6782,00",16
02.04.2018,2,lun.,"6624,3",11
03.04.2018,3,mar.,"6905,7",22
04.04.2018,4,mer.,"7030,5",22
05.04.2018,5,jeu.,"6781,9",17
06.04.2018,6,ven.,"6854,8",19
07.04.2018,7,sam.,"6962,1",20
08.04.2018,8,dim.,"7926,6",17
09.04.2018,9,lun.,"7887,4",21
10.04.2018,10,mar.,"8004,4",18
11.04.2018,11,mer.,"8363,6",20
12.04.2018,12,jeu.,"8070,00",18
13.04.2018,13,ven.,"7908,6",23
17.04.2018,17,mar.,"8178,4",26
18.04.2018,18,mer.,"8290,8",24
19.04.2018,19,jeu.,"8867,00",25
20.04.2018,20,ven.,"8923,1",26
21.04.2018,21,sam.,"8806,7",32
22.04.2018,22,dim.,"8952,8",31
23.04.2018,23,lun.,"9645,3",28
24.04.2018,24,mar.,"8873,1",29
25.04.2018,25,mer.,"9287,00",64
26.04.2018,26,jeu.,"8940,9",47
27.04.2018,27,ven.,"9352,4",55
28.04.2018,28,sam.,"9415,1",54
29.04.2018,29,dim.,"9245,1",61
30.04.2018,30,lun.,"9074,9",59
01.05.2018,1,mar.,"9243,2",56
02.05.2018,2,mer.,"9749,7",52
03.05.2018,3,jeu.,"9708,6",55
04.05.2018,4,ven.,"9853,5",56
05.05.2018,5,sam.,"9656,4",63
06.05.2018,6,dim.,"9431,6",67
07.05.2018,7,lun.,"9196,4",56
08.05.2018,8,mar.,"9319,1",62
09.05.2018,9,mer.,"9025,7",53
10.05.2018,10,jeu.,"8408,3",63
11.05.2018,11,ven.,"8459,5",41
12.05.2018,12,sam.,"8693,5",44
13.05.2018,13,dim.,"8674,1",40
14.05.2018,14,lun.,"8477,00",40
15.05.2018,15,mar.,"8344,4",40
16.05.2018,16,mer.,"8063,00",32
17.05.2018,17,jeu.,"8245,7",31
18.05.2018,18,ven.,"8245,1",37
19.05.2018,19,sam.,"8529,00",31
20.05.2018,20,dim.,"8403,3",32
21.05.2018,21,lun.,"8006,00",41
22.05.2018,22,mar.,"7512,3",30
23.05.2018,23,mer.,"7592,9",26
24.05.2018,24,jeu.,"7477,7",27
25.05.2018,25,ven.,"7361,3",25
26.05.2018,26,sam.,"7366,7",23
27.05.2018,27,dim.,"7119,3",19
28.05.2018,28,lun.,"7467,7",22
29.05.2018,29,mar.,"7400,1",16
30.05.2018,30,mer.,"7502,6",38
31.05.2018,31,jeu.,"7530,8",25
01.06.2018,1,ven.,"7646,6",24
02.06.2018,2,sam.,"7729,3",27
03.06.2018,3,dim.,"7504,3",40
04.06.2018,4,lun.,"7631,5",41
05.06.2018,5,mar.,"7661,00",26
06.06.2018,6,mer.,"7697,8",42
07.06.2018,7,jeu.,"7622,1",38
08.06.2018,8,ven.,"7515,8",40
09.06.2018,9,sam.,"6775,1",39
10.06.2018,10,dim.,"6885,9",24
11.06.2018,11,lun.,"6558,2",15
12.06.2018,12,mar.,"6312,3",19
13.06.2018,13,mer.,"6647,1",19
14.06.2018,14,jeu.,"6410,3",17
15.06.2018,15,ven.,"6505,8",26
16.06.2018,16,sam.,"6460,3",22
17.06.2018,17,dim.,"6719,8",23
18.06.2018,18,lun.,"6752,4",27
19.06.2018,19,mar.,"6765,4",32
20.06.2018,20,mer.,"6728,00",34
21.06.2018,21,jeu.,"6055,7",37
22.06.2018,22,ven.,"6167,3",28
23.06.2018,23,sam.,"6154,6",17
24.06.2018,24,dim.,"6256,6",15
25.06.2018,25,lun.,"6082,1",16
26.06.2018,26,mar.,"6154,9",21
27.06.2018,27,mer.,"5883,5",18
28.06.2018,28,jeu.,"6213,3",20
29.06.2018,29,ven.,"6398,9",16
30.06.2018,30,sam.,"6366,8",22
01.07.2018,1,dim.,"6619,5",27
02.07.2018,2,lun.,"6513,5",27
03.07.2018,3,mar.,"6598,4",31
04.07.2018,4,mer.,"6546,5",33
05.07.2018,5,jeu.,"6617,7",37
06.07.2018,6,ven.,"6765,5",34
07.07.2018,7,sam.,"6714,8",34
08.07.2018,8,dim.,"6667,1",38
09.07.2018,9,lun.,"6307,2",39
10.07.2018,10,mar.,"6389,1",37
11.07.2018,11,mer.,"6250,6",29
12.07.2018,12,jeu.,"6230,2",33
13.07.2018,13,ven.,"6254,8",29
14.07.2018,14,sam.,"6362,9",29
15.07.2018,15,dim.,"6729,9",32
16.07.2018,16,lun.,"7322,00",36
17.07.2018,17,mar.,"7383,6",39
18.07.2018,18,mer.,"7477,5",42
19.07.2018,19,jeu.,"7339,4",44
20.07.2018,20,ven.,"7408,7",47
21.07.2018,21,sam.,"7412,3",43
22.07.2018,22,dim.,"7723,00",46
23.07.2018,23,lun.,"8407,00",44
24.07.2018,24,mar.,"8173,7",49
25.07.2018,25,mer.,"7937,00",54
26.07.2018,26,jeu.,"8187,4",53
27.07.2018,27,ven.,"8234,1",47
28.07.2018,28,sam.,"8215,6",54
29.07.2018,29,dim.,"8177,1",54
30.07.2018,30,lun.,"7729,4",53
31.07.2018,31,mar.,"7606,4",48
01.08.2018,1,mer.,"7535,6",39
02.08.2018,2,jeu.,"7419,00",39
03.08.2018,3,ven.,"7014,3",36
04.08.2018,4,sam.,"7027,1",31
05.08.2018,5,dim.,"6943,6",23
06.08.2018,6,lun.,"6724,9",25
07.08.2018,7,mar.,"6283,6",25
08.08.2018,8,mer.,"6538,8",23
09.08.2018,9,jeu.,"6152,3",19
10.08.2018,10,ven.,"6231,6",21
11.08.2018,11,sam.,"6313,00",18
12.08.2018,12,dim.,"6255,3",18
13.08.2018,13,lun.,"6190,2",21
14.08.2018,14,mar.,"6256,9",16
15.08.2018,15,mer.,"6306,7",18
16.08.2018,16,jeu.,"6581,7",21
17.08.2018,17,ven.,"6379,1",19
18.08.2018,18,sam.,"6481,5",24
19.08.2018,19,dim.,"6268,1",27
20.08.2018,20,lun.,"6482,2",26
21.08.2018,21,mar.,"6359,6",19
22.08.2018,22,mer.,"6521,2",21
23.08.2018,23,jeu.,"6680,4",18
24.08.2018,24,ven.,"6734,8",19
25.08.2018,25,sam.,"6712,7",22
26.08.2018,26,dim.,"6897,6",19
27.08.2018,27,lun.,"7074,6",18
28.08.2018,28,mar.,"7029,1",19
29.08.2018,29,mer.,"6993,7",19
30.08.2018,30,jeu.,"7033,8",22
31.08.2018,31,ven.,"7189,6",17
01.09.2018,1,sam.,"7293,9",21
02.09.2018,2,dim.,"7264,2",18
03.09.2018,3,lun.,"7377,5",19
04.09.2018,4,mar.,"6706,8",26
05.09.2018,5,mer.,"6514,00",17
06.09.2018,6,jeu.,"6390,9",14
07.09.2018,7,ven.,"6184,3",17
08.09.2018,8,sam.,"6238,5",18
09.09.2018,9,dim.,"6321,00",13
10.09.2018,10,lun.,"6293,9",15
11.09.2018,11,mar.,"6338,00",18
12.09.2018,12,mer.,"6482,9",14
13.09.2018,13,jeu.,"6483,7",20
14.09.2018,14,ven.,"6519,00",23
15.09.2018,15,sam.,"6500,2",24
16.09.2018,16,dim.,"6251,9",28
17.09.2018,17,lun.,"6342,00",25
18.09.2018,18,mar.,"6390,4",21
19.09.2018,19,mer.,"6489,2",24
20.09.2018,20,jeu.,"6766,7",24
21.09.2018,21,ven.,"6729,6",31
22.09.2018,22,sam.,"6704,1",35
23.09.2018,23,dim.,"6584,1",38
24.09.2018,24,lun.,"6445,1",43
25.09.2018,25,mar.,"6468,1",37
26.09.2018,26,mer.,"6689,2",37
27.09.2018,27,jeu.,"6636,00",42
28.09.2018,28,ven.,"6603,9",42
29.09.2018,29,sam.,"6635,2",37
30.09.2018,30,dim.,"6608,2",34
01.10.2018,1,lun.,"6549,9",35
02.10.2018,2,mar.,"6507,8",33
03.10.2018,3,mer.,"6584,2",36
04.10.2018,4,jeu.,"6639,1",29
05.10.2018,5,ven.,"6596,3",37
06.10.2018,6,sam.,"6611,00",34
07.10.2018,7,dim.,"6669,6",29
08.10.2018,8,lun.,"6650,8",26
09.10.2018,9,mar.,"6618,00",31
10.10.2018,10,mer.,"6239,1",28
11.10.2018,11,jeu.,"6291,3",19
12.10.2018,12,ven.,"6321,7",13
13.10.2018,13,sam.,"6326,8",15
